id,stock_code,stock_name,price
221,48470,대동스틸,4500
222,4780,대륙제관,4315
223,17650,대림제지,8230
224,7720,대명소노시즌,694
225,389260,대명에너지,21950
226,317850,대모,10600
227,290670,대보마그네틱,59600
228,78140,대봉엘에스,7590
229,36480,대성미생물,10650
230,25440,대성엘텍,702
231,27830,대성창투,2680
232,104040,대성파인텍,1740
233,129920,대성하이텍,9280
234,387310,대신밸런스제10호스팩,2470
235,397500,대신밸런스제11호스팩,2110
236,426670,대신밸런스제12호스팩,2085
237,20180,대신정보통신,1340
238,45390,대아티아이,2880
239,108380,대양전기공업,12300
240,6580,대양제지,3260
241,7680,대원,7210
242,48910,대원미디어,12150
243,5710,대원산업,5590
244,290380,대유,3430
245,290120,대유에이피,6000
246,120240,대정화금,17750
247,3310,대주산업,2565
248,78600,대주전자재료,89700
249,96350,대창솔루션,244
250,140520,대창스틸,2990
251,131220,대한과학,6940
252,10170,대한광통신,2675
253,60900,대한그린파워,728
254,54670,대한뉴팜,8690
255,23910,대한약품,28200
256,21040,대호특수강,539
257,21045,대호특수강우,999
258,67080,대화제약,9770
259,298540,더네이쳐홀딩스,27350
260,393890,더블유씨피,51000
261,299170,더블유에스아이,2290
262,213420,덕산네오룩스,36350
263,317330,덕산테코피아,17200
264,77360,덕산하이메탈,5750
265,90410,덕신하우징,1645
266,263600,덕우전자,6720
267,194480,데브시스터즈,48300
268,263800,데이타솔루션,5240
269,206560,덱스터,9550
270,261200,덴티스,7320
271,67990,도이치모터스,6180
272,6620,동구바이오제약,5790
273,100130,동국S&C,5210
274,5160,동국산업,4815
275,75970,동국알앤에스,4270
276,86450,동국제약,16400
277,99410,동방선기,2810
278,33500,동성화인텍,11100
279,25950,동신건설,16100
280,88130,동아엘텍,6410
281,41930,동아화성,7700
282,60380,동양에스텍,2245
283,79960,동양이엔피,12650
284,228340,동양파일,3500
285,88910,동우팜투테이블,2720
286,94170,동운아나텍,10150
287,13120,동원개발,3540
288,109860,동일금속,25450
289,32960,동일기연,11150
290,23790,동일철강,2045
291,5290,동진쎄미켐,29150
292,25900,동화기업,67500
293,131970,두산테스나,25600
294,73190,듀오백,2145
295,30350,드래곤플라이,1045
296,203650,드림시큐리티,2755
297,223250,드림씨아이에스,10250
298,60570,드림어스컴퍼니,2665
299,217620,디딤,1245
300,16670,디모아,468
301,187870,디바이스이엔지,15500
302,66670,디스플레이텍,4940
303,110990,디아이티,5740
304,78590,디아크,2380
305,263690,디알젬,9690
306,214680,디알텍,1455
307,263720,디앤씨미디어,12800
308,376300,디어유,24950
309,141020,디에스앤엘,1335
310,109740,디에스케이,5720
311,196490,디에이테크놀로지,3520
312,66900,디에이피,2710
313,180400,디엑스앤브이엑스,7740
314,127120,디엔에이링크,3300
315,92070,디엔에프,13150
316,39840,디오,19700
317,219550,디와이디,977
